"Datum","Warengruppe","Umsatz","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Windspitze","Niederschlagsmenge","Niederschlagsform","Sonnenscheindauer","Relative_Feuchte","Max-Temperatur","Min_Temperatur","Min_Temperatur_Boden","Uebernachtungen","Ankuenfte","Aufenthaltsdauer","Schleswig-Holstein.Feiertage","Baden-Wuerttemberg.Ferien","Bayern.Ferien","Berlin.Ferien","Brandenburg.Ferien","Bremen.Ferien","Hamburg.Ferien","Hessen.Ferien","Mecklenburg-Vorpommern.Ferien","Niedersachsen.Ferien","Nordrhein-Westfalen.Ferien","Rheinland-Pfalz.Ferien","Saarland.Ferien","Sachsen.Ferien","Sachsen-Anhalt.Ferien","Schleswig-Holstein.Ferien","Thueringen.Ferien","Wettergruppe","Wochentag","Warenname","Monat","KalenderWoche","Wochenende","Windchill"
2015-03-27,2,320.938056470297,0,7,7,7,6.9,2.5,4,0.3,88,8.1,2.7,0.6,51435,23227,2.21444870194171,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,"Regen","Freitag","Brötchen","Mrz","13",0,3.06777387487804
2015-03-28,2,428.350102346051,0,7,8.5,10,11.9,8.9,4,1.4,79,10.6,3.1,1.6,51435,23227,2.21444870194171,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,"Nischt","Samstag","Brötchen","Mrz","13",1,4.2094031752256
2015-03-29,2,489.846609636217,0,7,8.25,12,17.9,13,4,0,93,9.6,4.4,3.9,51435,23227,2.21444870194171,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,"Regen","Sonntag","Brötchen","Mrz","13",1,3.45281356861775
2015-03-30,2,351.715484397675,0,6,6.5,29,22.1,6.7,4,3.2,84,7.9,3.8,2.4,51435,23227,2.21444870194171,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,"Regen","Montag","Brötchen","Mrz","14",0,-1.33791053198717
2015-03-31,2,339.71388362822,0,7,6.375,35,25.9,11.3,4,0.1,91,8.1,0.6,0,51435,23227,2.21444870194171,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,"Regen","Dienstag","Brötchen","Mrz","14",0,-2.08807141282569
2015-04-01,2,373.724177525822,0,4,5,24,26.4,3.1,4,4.8,80,7.5,2,0.2,23735,48844,0.485934812873639,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Mittwoch","Brötchen","Apr","14",0,-2.93235194506604
2015-04-02,2,525.476422474447,0,6,6.5,19,13.9,0.4,4,8.7,78,8.7,0.5,-1.2,23735,48844,0.485934812873639,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"Regen","Donnerstag","Brötchen","Apr","14",0,-0.127810043659881
2015-04-04,2,624.731396612574,0,0,8.375,11,9.7,0,0,12.4,71,9.6,-1.9,-4.4,23735,48844,0.485934812873639,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,"Nischt","Samstag","Brötchen","Apr","14",1,3.82432742486729
2015-04-05,2,713.240728417569,0,3,8.625,11,9.7,0,4,10.5,65,10.5,-2.2,-5.8,23735,48844,0.485934812873639,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,"Nischt","Sonntag","Brötchen","Apr","14",1,4.15827486373366
2015-04-06,2,728.862922564967,0,0,7.75,10,8.2,0,0,12.7,78,9,1.5,-2.5,23735,48844,0.485934812873639,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,"Nischt","Montag","Brötchen","Apr","15",0,3.21566837341713
2015-04-07,2,402.937213841427,0,7,7.75,14,12.4,0,4,0.4,84,9.8,-0.1,-2.7,23735,48844,0.485934812873639,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,"Regen","Dienstag","Brötchen","Apr","15",0,2.40143680130782
2015-04-08,2,372.219387571259,0,2,12,11,10,0,0,7.3,79,13.4,5.6,2.8,23735,48844,0.485934812873639,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,"Nischt","Mittwoch","Brötchen","Apr","15",0,8.6665652884296
2015-04-09,2,368.140023251964,0,2,11.875,7,8,0,0,7.2,78,15.1,3.7,0.4,23735,48844,0.485934812873639,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,"Bewölkung","Donnerstag","Brötchen","Apr","15",0,9.3368172119806
2015-04-10,2,449.200853104077,0,1,14.125,8,5.5,0,0,9.5,76,15.2,1.4,-1.5,23735,48844,0.485934812873639,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,"Dunst, Rauch, Staub oder Sand","Freitag","Brötchen","Apr","15",0,12.0214323858174
2015-04-11,2,435.937997165239,0,2,16.75,14,17.6,6.5,4,8.1,77,19.9,5.8,2.4,23735,48844,0.485934812873639,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,"Regen","Samstag","Brötchen","Apr","15",1,14.6764462503077
2015-04-12,2,423.167305958991,0,5,12.375,16,18.3,1.6,4,6.3,66,13.8,5.6,3.7,23735,48844,0.485934812873639,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,"Nischt","Sonntag","Brötchen","Apr","15",1,8.44809430899653
2015-04-13,2,286.808655322632,0,4,8.875,21,17.5,0.1,4,9.7,71,11.2,3.3,0.8,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Regen","Montag","Brötchen","Apr","16",0,2.95054527832653
2015-04-14,2,297.478196061337,0,7,10.75,17,14.8,0,4,0.1,86,12.8,2.7,0.2,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Regen","Dienstag","Brötchen","Apr","16",0,6.07320518471712
2015-04-15,2,284.427934541009,0,0,15.5,19,17.6,0,4,10,77,17.2,6.2,4.8,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Dunst, Rauch, Staub oder Sand","Mittwoch","Brötchen","Apr","16",0,12.4817722987018
2015-04-16,2,286.72764708972,0,6,9.375,16,12.2,0,4,6.3,76,11,3.6,1,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Donnerstag","Brötchen","Apr","16",0,4.30832900762071
2015-04-17,2,314.997367966203,0,0,10.5,15,11.8,0,4,10.8,72,11.8,2.4,0,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Nischt","Freitag","Brötchen","Apr","16",0,6.00235482869897
2015-04-18,2,372.985639347608,0,0,10.875,8,9.2,0,0,12.1,73,12.7,1.1,-1.8,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Nischt","Samstag","Brötchen","Apr","16",1,7.79543627409493
2015-04-19,2,419.373474076238,0,0,10.125,11,8.4,0,0,11.9,76,11.1,2,0.3,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Sonntag","Brötchen","Apr","16",1,6.16195949693186
2015-04-20,2,291.610305100325,0,0,14.25,9,7.6,0,0,13.9,66,16.6,2,0,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Montag","Brötchen","Apr","17",0,11.9976802055262
2015-04-21,2,262.312297451446,0,0,14.625,17,12.4,0,4,13.9,68,16.4,4.4,1.3,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dunst, Rauch, Staub oder Sand","Dienstag","Brötchen","Apr","17",0,11.4490477388764
2015-04-22,2,281.264299329947,0,0,12.125,7,8.5,0,0,10.8,73,16,6.3,4.9,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Mittwoch","Brötchen","Apr","17",0,9.6583066138833
2015-04-23,2,316.964561244097,0,1,13.625,12,9.6,0,4,9.9,83,16.5,6.4,5.9,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Donnerstag","Brötchen","Apr","17",0,10.6865074468084
2015-04-24,2,311.721136965455,0,2,13.875,9,8.9,0.1,4,7.4,78,17.4,5.8,2.9,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Freitag","Brötchen","Apr","17",0,11.5052226694015
2015-04-25,2,450.922945775814,0,7,13.75,8,8.4,5.7,4,0,86,15.4,6.8,2.3,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Samstag","Brötchen","Apr","17",1,11.5338174498495
2015-04-26,2,399.820571217996,0,8,7,11,8.9,0.8,4,0,96,11.3,3,1.6,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Sonntag","Brötchen","Apr","17",1,1.98761651110227
2015-04-27,2,291.752346251679,0,4,10.125,11,9.4,0,0,6.2,72,12,1.1,-1.8,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Montag","Brötchen","Apr","18",0,6.16195949693186
2015-04-28,2,279.639574876652,0,3,10.25,13,10.9,0,4,9.4,69,12.6,-1.8,-3.4,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Dienstag","Brötchen","Apr","18",0,5.97240202527963
2015-04-29,2,335.699732620073,0,5,12.625,12,11.1,0.3,4,9.3,58,14.1,3.1,1,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Mittwoch","Brötchen","Apr","18",0,9.3407039345869
2015-04-30,2,382.494805997457,0,6,11.375,10,10.5,1.4,4,3.4,69,14,3.1,1.1,23735,48844,0.485934812873639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Donnerstag","Brötchen","Apr","18",0,8.01871991549139
2015-05-02,2,569.854066374337,0,3,11,12,10.7,0,0,10.4,73,13.1,0.7,-2.4,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bewölkung","Samstag","Brötchen","Mai","18",1,7.15377322722693
2015-05-03,2,467.833386599369,0,1,14.75,12,11.7,7.7,4,9.7,74,16.7,0,-2.7,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Sonntag","Brötchen","Mai","18",1,12.2005363980576
2015-05-04,2,340.579351605995,0,5,15.875,13,11.9,1.9,4,5.6,81,18.4,9.9,7.7,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Montag","Brötchen","Mai","19",0,13.5950600207961
2015-05-05,2,295.928590213682,0,4,20,15,18,14.8,4,3.8,78,24.2,10.1,7.9,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gewitter","Dienstag","Brötchen","Mai","19",0,19.0375943540049
2015-05-06,2,326.950819224427,0,3,17.125,11,14.7,3.1,4,9.6,67,18.5,9.2,6.5,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Mittwoch","Brötchen","Mai","19",0,15.5124877851901
2015-05-07,2,309.311901434242,0,6,12,16,13.9,2.4,4,5.7,76,13.8,6.2,3.9,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Donnerstag","Brötchen","Mai","19",0,7.93062364632456
2015-05-08,2,326.333702093022,0,2,11.5,11,8.1,0,4,9.1,78,12.8,3,0.5,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Freitag","Brötchen","Mai","19",0,7.99867041069687
2015-05-09,2,406.907398954341,0,7,13.5,14,13.2,3.7,4,1.5,83,16.4,8.9,7.3,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Samstag","Brötchen","Mai","19",1,10.24380394928
2015-05-10,2,492.010489698116,0,2,12.75,18,14.7,0,4,8.2,76,14.5,7,2.6,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bewölkung","Sonntag","Brötchen","Mai","19",1,8.7357827012189
2015-05-11,2,336.127629680071,0,0,19.75,11,11.1,0,0,11.4,60,23.8,7.4,4.5,64598,32574,1.98311536808498,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Nischt","Montag","Brötchen","Mai","20",0,19.018935893287
2015-05-12,2,327.092157926255,0,7,14.625,14,15.6,2.9,4,3,83,17.7,8.4,6.2,64598,32574,1.98311536808498,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Regen","Dienstag","Brötchen","Mai","20",0,11.7781801304049
2015-05-13,2,397.982340133214,0,7,11.875,16,14.8,0,4,2.3,77,13.3,8.5,6.9,64598,32574,1.98311536808498,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Mittwoch","Brötchen","Mai","20",0,7.7581334254339
2015-05-14,2,490.915769119788,0,7,11.25,10,8,0,4,0.2,79,12.8,6.9,6,64598,32574,1.98311536808498,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Donnerstag","Brötchen","Mai","20",0,7.85309744852331
2015-05-15,2,513.805644101383,0,6,13.5,9,7.9,0,0,7.7,72,15.6,4.8,2,64598,32574,1.98311536808498,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,"Nischt","Freitag","Brötchen","Mai","20",0,11.0127651332769
2015-05-16,2,555.445636645735,0,7,10.5,11,12.2,0.3,4,0,83,11.7,5.9,4.3,64598,32574,1.98311536808498,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,"Regen","Samstag","Brötchen","Mai","20",1,6.66288065523141
2015-05-17,2,562.648232082731,0,3,12.625,17,18.8,0.4,4,8.7,73,13.6,5.8,3.8,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Sonntag","Brötchen","Mai","20",1,8.67441932382644
2015-05-18,2,328.913429566134,0,6,11.625,8,10,8.9,4,0,85,13.2,8.2,6.8,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Regen","Montag","Brötchen","Mai","21",0,8.77066614603089
2015-05-19,2,351.146415331786,0,6,10.125,11,14.6,12.4,4,5.8,88,14.2,5.4,3.1,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Regen","Dienstag","Brötchen","Mai","21",0,6.16195949693186
2015-05-20,2,356.207676664304,0,5,12.25,9,9.9,1.7,4,9.1,79,14.5,6,3.3,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Regen","Mittwoch","Brötchen","Mai","21",0,9.37124001286151
2015-05-21,2,348.534145245022,0,6,12.625,10,10.5,0.2,4,7.9,78,14.7,6.4,4.1,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Regen","Donnerstag","Brötchen","Mai","21",0,9.67494458517217
2015-05-22,2,374.702368065499,0,4,17,12,10.8,1.1,4,8.2,72,19.4,6.9,5.2,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Nischt","Freitag","Brötchen","Mai","21",0,15.2285943005561
2015-05-23,2,506.664209994684,0,5,13.375,8,8.2,0.4,4,7.5,77,15.6,5.1,3.1,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Bewölkung","Samstag","Brötchen","Mai","21",1,11.0462025138815
2015-05-24,2,602.379870231082,0,2,14.375,8,6.8,0.5,4,13.9,76,17.8,3.1,0.4,64598,32574,1.98311536808498,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Nischt","Sonntag","Brötchen","Mai","21",1,12.3465090097961
2015-05-25,2,621.867778874006,0,7,11.75,10,9.4,0,4,0.4,84,13.1,6.6,4.1,64598,32574,1.98311536808498,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Regen","Montag","Brötchen","Mai","22",0,8.51558731639563
2015-05-26,2,381.669744982195,0,6,13,14,11.4,0,4,6.7,75,15,7,4.9,64598,32574,1.98311536808498,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Dienstag","Brötchen","Mai","22",0,9.56185897989108
2015-05-27,2,358.895155316917,0,7,12.625,13,11.4,0,4,4.5,72,14.9,8.3,6.9,64598,32574,1.98311536808498,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,"Regen","Mittwoch","Brötchen","Mai","22",0,9.19085762338656
2015-05-28,2,340.514414991475,0,6,13.125,12,14.9,4.3,4,3,73,15.1,6.7,3.8,64598,32574,1.98311536808498,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Donnerstag","Brötchen","Mai","22",0,10.0136056906977
2015-05-29,2,365.087905303626,0,6,14.625,8,10.8,3.4,4,6.4,76,16.7,6.1,3.6,64598,32574,1.98311536808498,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Freitag","Brötchen","Mai","22",0,12.6715856337747
2015-05-30,2,456.734340691111,0,4,11.625,15,16.1,0.8,4,7.5,78,13.5,7.7,5.7,64598,32574,1.98311536808498,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Samstag","Brötchen","Mai","22",1,7.54600161459046
2015-05-31,2,457.52825918325,0,7,14.5,10,14.4,3.7,4,1.5,78,17.1,6.6,4.8,64598,32574,1.98311536808498,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Sonntag","Brötchen","Mai","22",1,12.1592815896933
2015-06-01,2,335.912287877592,0,5,14.25,16,14.4,2.2,4,12.667,71.79,15.5,9,7.4,71070,35555,1.9988749824216,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Montag","Brötchen","Jun","23",0,11.0354476223564
2015-06-02,2,412.209593794446,0,7,14.25,14,17.1,0.6,4,1.3,80.29,17.3,10.3,9.1,71070,35555,1.9988749824216,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Dienstag","Brötchen","Jun","23",0,11.2667214033633
2015-06-03,2,350.831237309121,0,6,15.25,18,15.7,0,4,5.35,72.92,16.5,8.2,5.2,71070,35555,1.9988749824216,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Mittwoch","Brötchen","Jun","23",0,12.2216576181644
2015-06-04,2,366.195368742098,0,0,16.375,9,6.2,0,0,15.6,66.54,17.9,6.6,3.2,71070,35555,1.9988749824216,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bewölkung","Donnerstag","Brötchen","Jun","23",0,14.7882729102324
2015-06-05,2,418.393781746112,0,0,22.625,9,7.5,0.9,4,13.383,61.5,25.5,10.3,6.3,71070,35555,1.9988749824216,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Freitag","Brötchen","Jun","23",0,22.9958985123094
2015-06-06,2,553.131050767354,0,3,18.5,19,14.2,0,0,9.317,69,21.1,8.5,4.9,71070,35555,1.9988749824216,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trockenereignisse","Samstag","Brötchen","Jun","23",1,16.6849664128223
2015-06-07,2,527.885017948989,0,4,16.625,15,14.5,0,0,12.9,68.54,18.4,7.5,4.9,71070,35555,1.9988749824216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Sonntag","Brötchen","Jun","23",1,14.4066539963304
2015-06-08,2,344.695569756106,0,6,14.375,12,9.1,0,0,6.7,75.42,16.4,5.9,2.8,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Montag","Brötchen","Jun","24",0,11.6958600809746
2015-06-09,2,315.123749367531,0,3,15.25,8,7.5,0,0,9.583,77.63,17.3,5.3,3.8,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Dienstag","Brötchen","Jun","24",0,13.4842771937214
2015-06-10,2,338.309487845224,0,0,18,7,5.2,0,0,16.333,61.13,19.6,5.4,3,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Mittwoch","Brötchen","Jun","24",0,17.2133075585966
2015-06-11,2,357.852893336956,0,1,16,10,7.6,0,0,15.95,80.25,17.8,6.1,3.4,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Donnerstag","Brötchen","Jun","24",0,14.1467511933103
2015-06-12,2,349.536158182539,0,0,20.25,10,7,0,0,16.217,76.29,21.7,7.8,5.3,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Freitag","Brötchen","Jun","24",0,19.7779150702249
2015-06-13,2,559.888089847911,0,6,21.875,12,11.3,3.7,4,3.417,79.67,25.3,13.4,9.7,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Samstag","Brötchen","Jun","24",1,21.789386422636
2015-06-14,2,486.138237737853,0,7,14.375,12,9.8,0,4,0.6,79.79,16.4,6.1,3.3,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Sonntag","Brötchen","Jun","24",1,11.6958600809746
2015-06-15,2,350.589558421955,0,8,13.625,11,9.6,0,4,4.583,69.83,15.3,4,0.8,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Montag","Brötchen","Jun","25",0,10.837223641061
2015-06-16,2,349.888222729503,0,7,13.625,14,9.4,0,0,3.267,68.63,15.3,6.3,2.1,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Dienstag","Brötchen","Jun","25",0,10.4142901916272
2015-06-17,2,380.305703300813,0,7,16.5,9,9.9,4.7,4,3.367,82.29,17.6,4.2,0.8,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Mittwoch","Brötchen","Jun","25",0,14.9524254222739
2015-06-18,2,332.820567048363,0,7,13.25,13,12.5,1.3,4,1.75,87.54,15.2,9.9,9.3,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Donnerstag","Brötchen","Jun","25",0,10.0378196228884
2015-06-19,2,346.690336157535,0,7,14.25,14,12.1,0.7,4,1.5,80.71,16.2,9.7,9,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Freitag","Brötchen","Jun","25",0,11.2667214033633
2015-06-20,2,571.278131371528,1,5,17.125,13,11.3,0,0,8.3,78.54,18.3,8.6,7.5,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Samstag","Brötchen","Jun","25",1,15.2889840197997
2015-06-21,2,553.599170821681,1,6,15.75,6,6.5,14.4,4,2.167,71.29,18.1,9.4,7.5,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Sonntag","Brötchen","Jun","25",1,14.5291451235247
2015-06-22,2,412.309330067662,1,5,13.5,8,8.9,1.8,4,4.967,85.88,17.3,10.6,9.8,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Montag","Brötchen","Jun","26",0,11.2087408258708
2015-06-23,2,423.1358501964,1,5,16.5,10,11,0.4,4,7.733,78.17,19.6,9.5,8.9,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Dienstag","Brötchen","Jun","26",0,14.8092410611826
2015-06-24,2,479.943327331225,1,8,12.625,14,12.7,0.1,4,0.217,83.63,14.2,10.4,10.1,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Mittwoch","Brötchen","Jun","26",0,9.05040025284941
2015-06-25,2,484.513720535521,1,6,17.125,8,7.4,0,4,4.067,83.17,20.5,10.6,8.6,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Donnerstag","Brötchen","Jun","26",0,15.9223518735613
2015-06-26,2,517.667163948615,1,7,19.25,5,6.1,0.1,4,5.15,75.96,20.5,10,9.1,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Freitag","Brötchen","Jun","26",0,19.1490177555491
2015-06-27,2,708.700690129254,1,7,19.375,16,12.4,0.1,4,1.967,78.96,21.5,11.8,10.3,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Samstag","Brötchen","Jun","26",1,18.1075466788735
2015-06-28,2,686.349904220686,1,2,19.875,10,9.1,2.6,4,11.5,74.46,22.2,9.9,7.7,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Sonntag","Brötchen","Jun","26",1,19.2810476693207
2015-06-29,2,455.623242772356,0,3,21.5,12,9.4,0,0,11.483,74.33,22.9,14.4,13.3,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Nischt","Montag","Brötchen","Jun","27",0,21.2847101055529
2015-06-30,2,456.688693628606,0,3,20.25,9,10.5,0,0,14.067,71.54,21.6,11.8,8.9,71070,35555,1.9988749824216,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Nischt","Dienstag","Brötchen","Jun","27",0,19.8770007835201
2015-07-01,2,430.397456895632,0,0,23.125,13,9.8,0,0,16.517,68.54,24.3,10.7,8.2,78622,41030,1.91620765293688,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Nischt","Mittwoch","Brötchen","Jul","27",0,23.4198192150172
2015-07-02,2,380.075233434005,0,0,27.375,12,11,0,0,16.367,58.38,29.4,17.2,14.7,78622,41030,1.91620765293688,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Nischt","Donnerstag","Brötchen","Jul","27",0,29.1913057398543
2015-07-03,2,432.888287340422,0,1,25.625,10,8,0,0,13.033,61.08,27.7,17.2,14.7,78622,41030,1.91620765293688,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Nischt","Freitag","Brötchen","Jul","27",0,26.8996811498523
